Method,Seed,FixedIteration,NRMSE,PSNRdB,SupportSpectrumError,PoissonNLL,ElapsedSeconds
Damped Newton,5,3,0.694152736803224,32.6278128373572,0.512641129508114,14899.6767288323,1.0527135
Damped Newton,13,3,0.697985529865491,32.579985258076,0.517402059632731,14997.9122366088,1.0662051
Damped Newton,17,3,0.686749570996704,32.7209457068879,0.503857608460915,14425.9263864002,1.1115109
Damped Newton,23,3,0.694133014681712,32.6280596225321,0.512883494796765,14059.6907777585,1.1753868
Damped Newton,31,3,0.688814030373824,32.6948739501806,0.509498092199889,14616.2631746142,1.0683892
Damped Newton,43,3,0.690454160522284,32.6742166244041,0.5064734209887,15421.2750726311,1.0426065
Damped Newton,59,3,0.691118805653102,32.665859433229,0.50892337323121,14499.9890296632,1.0527285
Damped Newton,73,3,0.695653826896485,32.6090500709444,0.513067236237132,15640.7622740359,1.0460426
Damped Newton,89,3,0.689826222682864,32.6821196551438,0.506778596370557,14378.6662030962,1.0358444
Damped Newton,101,3,0.690950749844038,32.6679717932213,0.5063860757875,14961.0742687559,1.0637756
Damped Newton,127,3,0.697761358974666,32.5827753393577,0.516950377093288,13879.8188315067,1.089652
Log-SGD,2,16,0.640114601562778,33.3317589640183,0.294015241556201,15232.4959292615,0.4217925
Log-SGD,5,16,0.560352457180148,34.4876880291445,0.284006640606697,13937.7529959502,0.4374909
Log-SGD,13,16,0.57359931746173,34.2847411251097,0.2904728434191,14203.2361573874,0.4427828
Log-SGD,17,16,0.522590309741407,35.0936865936951,0.274184966382953,13515.269411284,0.4396456
Log-SGD,23,16,0.552621681981094,34.6083552356593,0.282061164834535,13201.4167668453,0.4588602
Log-SGD,31,16,0.513720901348854,35.2423689253052,0.274342703716246,13763.6241272922,0.4374978
Log-SGD,43,16,0.576039793881328,34.2478639164667,0.298829714840672,14680.8597951569,0.4208399
Log-SGD,59,16,0.577483311222982,34.226124882702,0.282520480311852,13635.5464551246,0.4350617
Log-SGD,73,16,0.591230788801618,34.0217727988331,0.289275453713228,14791.115846774,0.4650103
Log-SGD,89,16,0.563401225515938,34.4405578961332,0.291574474918753,13523.8069852129,0.4537856
Log-SGD,101,16,0.569340955797226,34.3494651207066,0.298938158683821,14122.063003411,0.4401641
