Q,Alpha,Gamma,TVWeight,BestIteration,BestNRMSE,BestPSNRdB,BestSpectrumError,FinalPoissonNLL
0.25,0.05,0.5,0,12,0.640004190143702,33.3332572959067,0.478551903364468,12473.5597709521
0.5,0.01,0.5,0.05,12,0.640025638494476,33.3329662120528,0.486979668881208,12314.149345913
0.5,0.05,0.5,0.05,12,0.644094592993838,33.2779205751367,0.491320645506421,12446.4971138891
0.25,0.002,0.5,0.05,12,0.651752135290587,33.1752643889468,0.501718400123237,12638.3696122867
0.25,0.01,0.5,0.05,12,0.652931947645782,33.1595552638977,0.503038592436299,12672.1694796101
0.25,0.05,0.5,0.05,12,0.656010774431525,33.1186941955822,0.506881746429693,12756.8393327271
1,0.05,1,0.2,3,0.663993102396543,33.0136422845387,0.532738715090522,18080.531086987
1,0.01,1,0.2,3,0.66511433428587,32.9989874891611,0.538559866378543,19431.1026798374
0.75,0.05,1,0.2,2,0.665994356735956,32.9875026584398,0.536126649030913,18452.4145546134
0.75,0.002,1,0.2,3,0.668839784614246,32.9504716757976,0.541889867663711,18049.8611343072
0.5,0.01,1,0.2,2,0.671022872623519,32.9221671653374,0.542740607045727,17874.5305336741
0.5,0.002,1,0.2,2,0.671777797923381,32.9124007142561,0.543862705869562,17951.8334783693
0.75,0.01,1,0.2,3,0.672495391712275,32.9031273893167,0.544268601113231,17950.9156649282
0.5,0.05,1,0.2,2,0.673940371275449,32.8844841860115,0.546374427505968,17836.2269172038
0.25,0.05,1,0.2,5,0.675266632384594,32.867407842197,0.549308410896986,17904.0130750797
0.25,0.01,1,0.2,5,0.675974196143416,32.8583112827192,0.550098538894479,17871.589530625
0.25,0.002,1,0.2,4,0.676369913590853,32.8532280229932,0.55049088641948,17851.9262214318
1,0.002,1,0.2,7,0.689158165463586,32.6905355179808,0.548955721828917,17550.7587598961
1,0.05,0.5,0.2,12,0.690181357702337,32.6776491526658,0.570191981318055,15981.9623254957
0.75,0.002,0.5,0.2,12,0.691715468600965,32.6583638874008,0.566940157458798,17625.6600874028
0.75,0.01,0.5,0.2,12,0.6937559958847,32.6327786508087,0.574392169854643,15679.8214162712
0.25,0.05,0.5,0.2,11,0.693953126142362,32.6303109122218,0.571235806620689,15489.3736258292
0.25,0.01,0.5,0.2,10,0.695609524784425,32.609603241925,0.573110135948938,15455.8510117577
0.25,0.002,0.5,0.2,9,0.696432068663291,32.5993384248111,0.573841695981094,15436.3615155105
0.5,0.05,0.5,0.2,6,0.696907047835506,32.5934165113572,0.572634053897239,15471.7692303252
0.75,0.05,0.5,0.2,3,0.698543553875325,32.5730438555954,0.573211404706287,15771.4074614415
1,0.01,0.5,0.2,11,0.698563156898855,32.5728001094341,0.575240479715084,15226.6530929946
0.5,0.01,0.5,0.2,4,0.699675458029555,32.558980827374,0.575613563729401,15519.0923951106
0.5,0.002,0.5,0.2,3,0.701334897554223,32.5384046549632,0.577594341525214,15473.5939810679
1,0.002,0.5,0.2,11,0.704970733071028,32.4934918910277,0.580677932195771,15503.9289455043
